"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
       Mohawk , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 
       Montagnais-Naskapi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 10 
       Nisga'a , -   , -   , -   , -   , 10 , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , 70 
       North Slave (Hare) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Ojibway , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 40 , 70 
       Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Shuswap , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 10 
       South Slave , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
       Tlingit , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Italian , 85 , 195 , 75 , 135 , 630 ," 1,825 ", 505 , 40 , 150 , 310 , 75 , 160 , 45 , 690 , 55 , 25 , 30 , 50 , 200 , 270 , 200 , 70 ," 5,820 "," 17,675 "
       Portuguese , 40 , 140 , 50 , 95 , 215 , 165 , 480 , 40 , 190 , 110 , 20 , 70 , 10 , 780 , 130 , -   , 20 , -   , 130 , 155 , 160 , 15 ," 3,030 "," 8,435 "
       Romanian , -   , 130 , 15 , 95 , 10 , 10 , 15 , -   , 100 , 105 , 150 , 95 , -   , 70 , 15 , 20 , -   , 10 , 10 , -   , 215 , 30 ," 1,105 "," 5,290 "
       Spanish , 110 , 865 , 200 , 540 , 655 , 485 , 695 , 85 , 545 , 660 , 305 , 390 , 45 , 720 , 250 , 75 , 90 , 115 , 600 , 565 ," 1,275 ", 70 ," 9,330 "," 26,455 "
       Danish , 15 , 30 , 15 , 25 , 30 , 30 , 25 , 15 , 45 , 125 , 15 , 25 , 10 , 10 , 20 , 10 , -   , -   , 15 , -   , 65 , 20 , 550 ," 2,970 "
       Dutch , 45 , 195 , 115 , 95 , 100 , 25 , 55 , 65 , 60 , 265 , 30 , 60 , 20 , 35 , 50 , 10 , 15 , 10 , 10 , 30 , 235 , 125 ," 1,650 "," 9,560 "
       Flemish , 10 , 15 , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 65 , 285 
       Frisian , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 155 
       German , 155 , 530 , 355 , 400 , 370 , 135 , 470 , 120 , 270 , 840 , 170 , 250 , 95 , 210 , 230 , 75 , 90 , 105 , 535 , 260 , 880 , 235 ," 6,760 "," 30,290 "
       Norwegian , -   , 40 , 10 , -   , 30 , -   , 10 , 15 , 20 , 15 , -   , 10 , -   , 10 , 10 , 10 , -   , -   , -   , 10 , 25 , 15 , 225 ," 1,390 "
       Swedish , 35 , 30 , 30 , 60 , 20 , -   , 10 , -   , -   , 25 , -   , 10 , 10 , 20 , 20 , -   , -   , -   , 10 , -   , 55 , 15 , 365 ," 1,445 "
       Yiddish , 25 , -   , -   , 15 , 10 , -   , -   , 25 , -   , 15 , -   , 10 , 35 , -   , -   , 35 , -   , -   , -   , -   , 10 , 15 , 195 , 325 
       Bosnian , 10 , 75 , -   , 40 , -   , 30 , 10 , -   , 35 , 75 , 25 , -   , 10 , 20 , -   , -   , -   , -   , -   , -   , -   , 10 , 340 ," 1,420 "
       Bulgarian , -   , 40 , -   , -   , 15 , -   , -   , -   , -   , 65 , 60 , 25 , -   , 10 , 15 , -   , -   , 10 , -   , -   , 105 , -   , 355 ," 1,330 "
       Croatian , 15 , 170 , 10 , 110 , 150 , 150 , 125 , -   , 85 , 95 , 45 , 35 , 15 , 220 , 10 , 15 , 20 , 35 , 65 , 40 , 285 , -   ," 1,715 "," 6,270 "
       Czech , 20 , 95 , 20 , 105 , 70 , 35 , 40 , 30 , 40 , 70 , 40 , 20 , -   , 35 , 10 , -   , -   , 10 , 10 , -   , 265 , 20 , 950 ," 3,680 "
       Macedonian , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , -   , 70 , 210 
       Polish , 70 , 275 , 50 , 165 , 125 , 65 , 180 , 35 , 350 , 215 , 120 , 155 , 35 , 125 , 80 , 50 , 35 , 10 , 145 , 95 , 390 , 70 ," 2,840 "," 12,530 "
       Russian , 85 , 505 , 55 , 305 , 55 , 45 , 30 , 100 , 220 , 185 , 410 , 55 , 75 , 170 , 55 , 15 , 15 , 20 , 70 , 120 , 545 , 110 ," 3,250 "," 11,745 "
       Serbian , 60 , 465 , 65 , 275 , 25 , 95 , 65 , 10 , 45 , 165 , 45 , 50 , -   , 145 , 65 , 10 , 15 , 15 , 20 , 10 , 445 , -   ," 2,100 "," 5,560 "
       Serbo-Croatian , -   , 220 , -   , 15 , 30 , 10 , 20 , -   , 30 , 40 , 40 , 40 , -   , 35 , -   , -   , -   , -   , 10 , -   , 145 , -   , 640 ," 1,435 "
       Slovak , 15 , 60 , -   , 25 , 10 , 30 , 20 , 15 , 45 , 15 , 20 , 25 , -   , -   , -   , 10 , -   , 10 , 10 , 10 , 285 , 15 , 625 ," 2,455 "
       Slovenian , 10 , 10 , 25 , -   , 15 , 10 , -   , -   , 50 , 10 , -   , 15 , -   , 35 , 10 , -   , -   , -   , -   , 10 , 15 , 40 , 230 , 795 
       Ukrainian , 30 , 200 , 35 , 100 , 70 , 45 , 135 , 20 , 70 , 105 , 60 , 90 , 30 , 35 , 20 , 10 , 15 , 30 , 55 , 20 , 100 , 15 ," 1,300 "," 5,300 "
       Latvian , 20 , 10 , -   , 10 , -   , -   , 20 , -   , -   , 35 , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , 135 , 335 
       Lithuanian , -   , 10 , 15 , 10 , 10 , -   , 10 , 10 , 25 , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 10 , 10 , 125 , 325 
       Estonian , 15 , -   , -   , 15 , -   , -   , 15 , -   , -   , 55 , -   , 10 , 10 , -   , 15 , -   , -   , -   , -   , -   , 10 , 10 , 170 , 750 
       Finnish , -   , 25 , 20 , 50 , 30 , 30 , 35 , -   , 40 , 15 , 25 , 30 , -   , 35 , 20 , -   , -   , -   , -   , 55 , 60 , -   , 480 ," 2,400 "
       Hungarian , 15 , 115 , 55 , 105 , 50 , 35 , 95 , 35 , 70 , 150 , 85 , 60 , 75 , 40 , 85 , 10 , 25 , 50 , 35 , 65 , 265 , 40 ," 1,570 "," 6,185 "
       Greek , 375 , 110 , 215 , 110 , 120 , 55 , 165 , 50 , 130 , 710 , 85 , 30 , 20 , 120 , 200 , 65 , 35 , 15 , 50 , 45 , 45 , 90 ," 2,840 "," 5,480 "
       Armenian , -   , 10 , 120 , 10 , 10 , -   , -   , -   , -   , 35 , 10 , 10 , -   , -   , 25 , -   , -   , -   , 10 , 10 , 25 , 10 , 275 , 880 
       Turkish , 10 , 20 , 15 , 40 , 30 , -   , 10 , 10 , -   , 65 , 10 , 30 , 10 , 40 , 10 , -   , 10 , 10 , 25 , -   , 160 , -   , 490 ," 1,915 "
       Amharic , -   , 20 , -   , 20 , 80 , -   , 10 , -   , 25 , 10 , -   , 65 , -   , 45 , 65 , -   , 10 , 10 , 10 , 35 , 40 , -   , 435 ," 1,045 "
       Arabic , -   , 390 , 10 , 110 , 100 , 55 , 10 , 10 , 85 , 25 , 90 , 210 , 80 , 115 , 40 , -   , 15 , 20 , 40 , 85 , 245 , 10 ," 1,740 "," 7,360 "
       Hebrew , 10 , 65 , 30 , 30 , 10 , -   , -   , 50 , 30 , 85 , 70 , 75 , 40 , 25 , 150 , 45 , 75 , -   , 15 , 25 , 90 , 15 , 940 ," 1,470 "
       Maltese , -   , -   , -   , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 95 
       Somali , -   , 10 , -   , 10 , 10 , 45 , -   , -   , -   , -   , -   , 10 , -   , 25 , -   , -   , -   , -   , 30 , -   , -   , -   , 150 , 900 
       Tigrigna , -   , 10 , -   , 10 , 10 , -   , -   , -   , 15 , -   , 10 , 10 , -   , 15 , -   , 10 , -   , -   , 15 , -   , -   , -   , 90 , 300 
       Bengali , -   , -   , 10 , 10 , 10 , 35 , 40 , 20 , 10 , 35 , 20 , 105 , 40 , 90 , -   , -   , -   , 40 , 195 , -   , 45 , 25 , 710 ," 1,470 "
       Gujarati , 35 , 170 , -   , 55 , 15 , -   , 60 , 15 , 135 , 20 , 10 , 10 , 10 , 175 , 30 , 10 , -   , -   , 160 , 45 , 115 , 20 ," 1,085 "," 6,080 "
       Hindi , 15 , 90 , 10 , 50 , 45 , 135 , 605 , 25 , 120 , 85 , 25 , 55 , 65 , 965 , 275 , -   , -   , 15 , 965 , 280 , 30 , 35 ," 3,915 "," 22,030 "
       Kurdish , -   , 80 , 20 , -   , 25 , 30 , 10 , -   , 40 , -   , -   , 20 , -   , 55 , -   , -   , -   , -   , 60 , 65 , 45 , -   , 450 ," 1,060 "
       Panjabi (Punjabi) , 35 , 140 , 50 , 80 , 25 , 190 ," 1,385 ", 90 , 405 , 60 , 245 , 115 , 100 ," 1,220 ", 310 , 85 , -   , 10 ," 9,220 "," 1,695 ", 30 , 15 ," 15,505 "," 116,635 "
       Pashto , -   , -   , -   , -   , 10 , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 65 , 25 , -   , -   , 115 , 595 
       Persian (Farsi) , 90 ," 1,775 ", 75 , 175 , 60 , 100 , 20 , 65 , 185 , 270 , 90 , 190 , 80 , 100 , 80 , 55 , 85 , 15 , 200 , 45 , 930 , 200 ," 4,890 "," 26,760 "
       Sindhi , 10 , -   , 10 , 10 , 10 , -   , 60 , -   , 30 , -   , -   , 10 , -   , 10 , 35 , 10 , -   , -   , 25 , 10 , 15 , -   , 235 ," 1,530 "
       Sinhala (Sinhalese) , -   , -   , -   , -   , 20 , 60 , 15 , -   , 20 , -   , 15 , 10 , -   , 65 , -   , -   , -   , 15 , 80 , -   , 15 , -   , 325 , 940 
       Urdu , -   , 40 , -   , 35 , 55 , 65 , 75 , -   , 15 , -   , -   , -   , 10 , 30 , 10 , -   , -   , 30 , 240 , 55 , 25 , 10 , 695 ," 6,515 "
       Malayalam , -   , 20 , -   , 10 , -   , -   , 40 , -   , -   , 10 , -   , -   , -   , 25 , -   , -   , -   , -   , 20 , 15 , 10 , -   , 145 , 810 
       Tamil , 20 , -   , -   , -   , 25 , 25 , 305 , -   , -   , 10 , 100 , 130 , 10 , 140 , 60 , -   , -   , -   , 380 , 55 , 10 , -   ," 1,280 "," 2,920 "
       Telugu , -   , 30 , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 15 , -   , 10 , -   , 80 , 380 
       Japanese , 185 , 760 , 195 , 505 , 235 , 215 , 305 , 185 , 380 , 340 , 205 , 200 , 110 , 495 , 165 , 80 , 105 , 45 , 200 , 90 ," 1,850 ", 235 ," 7,070 "," 15,280 "
       Korean , 680 ," 1,450 ", 355 , 250 , 165 , 55 , 265 , 310 , 595 , 375 , 330 , 110 , 285 , 370 , 75 , 85 , 125 , -   , 75 , 80 ," 1,675 ", 185 ," 7,855 "," 41,325 "
       Cantonese ," 1,625 "," 2,270 "," 1,170 ", 795 ," 1,990 "," 6,905 "," 7,935 "," 1,285 "," 5,215 ", 675 ," 3,135 ", 925 ," 2,245 "," 10,215 "," 1,770 ", 625 , 510 ," 2,495 "," 4,155 "," 6,925 ", 540 , 330 ," 63,715 "," 125,940 "
"       Chinese, n.o.s. "," 2,150 "," 2,475 "," 1,220 ", 715 ," 1,625 "," 5,270 "," 5,735 "," 1,575 "," 3,880 ", 625 ," 3,555 "," 1,085 "," 2,415 "," 8,565 "," 1,950 ", 850 , 475 ," 1,510 "," 2,835 "," 5,695 ", 905 , 385 ," 55,465 "," 120,205 "
       Mandarin ," 1,675 "," 1,380 "," 1,030 ", 810 , 420 , 860 , 955 ," 1,710 "," 1,215 ", 520 ," 2,785 ", 325 ," 1,670 "," 1,990 ", 735 , 440 , 380 , 545 , 515 ," 1,225 ", 870 , 540 ," 22,560 "," 69,265 "
       Taiwanese , 130 , 55 , 180 , 15 , -   , 30 , -   , 75 , 130 , 35 , 195 , 15 , 245 , 55 , 105 , 95 , 20 , -   , -   , 20 , 45 , 45 ," 1,520 "," 5,345 "
       Lao , -   , 10 , -   , 15 , 10 , -   , 10 , -   , 20 , -   , -   , -   , -   , 35 , -   , -   , -   , -   , 40 , 10 , 20 , -   , 155 , 660 
       Khmer (Cambodian) , -   , 10 , -   , 15 , 25 , 20 , 230 , -   , -   , -   , -   , 25 , -   , 50 , 20 , -   , -   , 10 , -   , 20 , 10 , -   , 450 ," 1,110 "
       Vietnamese , 10 , 130 , 10 , 50 , 580 ," 1,280 "," 2,365 ", 10 , 460 , 35 , 50 , 650 , 40 ," 1,925 ", 300 , 20 , 25 , 525 ," 1,055 ", 810 , 105 , 25 ," 10,470 "," 20,720 "
       Bisayan languages , 10 , 10 , 35 , 25 , 95 , 30 , 135 , -   , 30 , 10 , 15 , 50 , -   , 205 , 50 , -   , -   , -   , 60 , 50 , 20 , -   , 825 ," 2,540 "
       Ilocano , -   , -   , 15 , 15 , -   , 100 , 305 , -   , 65 , -   , 65 , 110 , 10 , 175 , 170 , -   , 10 , -   , 150 , 50 , 10 , -   ," 1,270 "," 2,705 "
       Malay , 100 , 145 , 25 , 40 , 15 , 65 , 15 , 10 , 85 , -   , 40 , 20 , 30 , 130 , 15 , 100 , -   , -   , 20 , 60 , 55 , -   , 960 ," 2,775 "
"       Tagalog (Pilipino, Filipino) ", 35 , 400 , 90 , 185 , 595 , 840 ," 2,845 ", 135 , 780 , 155 , 750 ," 1,190 ", 120 ," 2,905 ", 990 , 160 , 70 , 35 ," 2,085 "," 1,160 ", 505 , 35 ," 16,080 "," 45,835 "
       Akan (Twi) , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , 55 , 390 
       Swahili , -   , -   , -   , -   , 10 , -   , -   , -   , 10 , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , 50 , 445 
       Creoles , -   , 20 , -   , -   , 10 , -   , 40 , -   , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , 400 
       Other languages , 80 , 325 , 120 , 175 , 290 , 225 , 540 , 45 , 300 , 150 , 260 , 190 , 85 , 755 , 210 , 35 , 75 , 105 , 230 , 190 , 260 , 20 ," 4,625 "," 15,985 "
   Multiple responses , 175 , 625 , 200 , 325 , 425 , 670 , 955 , 105 , 695 , 600 , 570 , 605 , 305 ," 1,390 ", 545 , 150 , 80 , 135 ," 1,110 ", 650 , 710 , 135 ," 11,160 "," 37,620 "
     English and French , 15 , 110 , 95 , 25 , 130 , 25 , 30 , 10 , 25 , 155 , 35 , 15 , 10 , 20 , 85 , 10 , 10 , 10 , 15 , 25 , 115 , 15 , 970 ," 2,850 "
     English and non-official language , 155 , 470 , 75 , 225 , 275 , 625 , 890 , 85 , 660 , 425 , 490 , 575 , 295 ," 1,320 ", 420 , 145 , 60 , 125 ," 1,030 ", 600 , 505 , 100 ," 9,515 "," 32,880 "
     French and non-official language , -   , 50 , 20 , 40 , 20 , 20 , 35 , 10 , -   , 20 , 30 , 20 , -   , 40 , 40 , -   , -   , -   , 25 , 15 , 75 , -   , 485 ," 1,285 "
"     English, French and non-official language ", 10 , -   , -   , 30 , -   , -   , -   , 10 , 10 , 10 , 15 , -   , -   , 15 , -   , -   , 10 , 10 , 40 , 10 , 10 , 10 , 185 , 595 
 Total population by knowledge of official languages ," 15,835 "," 42,580 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,625 "," 26,845 "," 40,385 "," 23,255 "," 23,300 "," 12,535 "," 48,655 "," 21,640 "," 8,715 "," 6,825 "," 11,290 "," 35,305 "," 28,790 "," 44,320 "," 12,990 "," 571,600 "," 2,097,965 "
   English only ," 13,135 "," 35,350 "," 18,020 "," 23,360 "," 22,225 "," 26,445 "," 35,115 "," 12,475 "," 23,020 "," 32,360 "," 19,485 "," 19,125 "," 10,610 "," 39,680 "," 17,825 "," 7,345 "," 5,730 "," 7,460 "," 29,545 "," 23,750 "," 36,685 "," 10,160 "," 467,675 "," 1,825,595 "
   French only , -   , 40 , -   , 25 , 35 , 10 , 35 , -   , 40 , 85 , -   , 30 , 10 , -   , 50 , -   , 10 , -   , 25 , -   , 40 , -   , 435 ," 1,140 "
   English and French ," 1,715 "," 5,515 "," 2,910 "," 4,755 "," 3,680 "," 1,745 "," 2,785 "," 1,425 "," 1,415 "," 7,645 "," 1,915 "," 3,145 ", 815 ," 2,140 "," 2,560 "," 1,110 ", 885 ," 1,045 "," 1,540 "," 1,190 "," 6,800 "," 2,615 "," 59,235 "," 162,785 "
   Neither English nor French , 975 ," 1,670 ", 390 , 355 ," 2,000 "," 4,805 "," 6,375 ", 710 ," 2,370 ", 295 ," 1,855 "," 1,000 "," 1,095 "," 6,835 "," 1,205 ", 260 , 205 ," 2,780 "," 4,200 "," 3,850 ", 790 , 215 ," 44,250 "," 108,440 "
 Total population by first official language spoken ," 15,830 "," 42,580 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,625 "," 26,840 "," 40,385 "," 23,255 "," 23,300 "," 12,535 "," 48,655 "," 21,640 "," 8,720 "," 6,825 "," 11,290 "," 35,305 "," 28,790 "," 44,320 "," 12,990 "," 571,600 "," 2,097,960 "
   English ," 14,515 "," 39,550 "," 20,450 "," 26,985 "," 25,155 "," 27,820 "," 37,255 "," 13,610 "," 24,040 "," 38,565 "," 20,835 "," 21,685 "," 11,290 "," 41,265 "," 20,020 "," 8,335 "," 6,450 "," 8,200 "," 30,695 "," 24,610 "," 41,700 "," 12,330 "," 514,050 "," 1,953,120 "
   French , 225 ," 1,050 ", 325 , 910 , 655 , 225 , 480 , 160 , 190 ," 1,275 ", 295 , 475 , 70 , 290 , 320 , 55 , 120 , 215 , 210 , 150 ," 1,575 ", 380 ," 9,635 "," 24,480 "
   English and French , 135 , 320 , 170 , 240 , 160 , 245 , 320 , 145 , 290 , 250 , 290 , 150 , 90 , 380 , 150 , 75 , 55 , 100 , 255 , 200 , 300 , 80 ," 4,405 "," 13,830 "
   Neither English nor French , 955 ," 1,655 ", 370 , 350 ," 1,970 "," 4,710 "," 6,250 ", 700 ," 2,320 ", 295 ," 1,830 ", 985 ," 1,075 "," 6,725 "," 1,155 ", 250 , 205 ," 2,770 "," 4,150 "," 3,830 ", 745 , 190 ," 43,510 "," 106,525 "
 Total population by language spoken most often at home ," 15,835 "," 42,575 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,620 "," 26,845 "," 40,385 "," 23,255 "," 23,300 "," 12,540 "," 48,660 "," 21,640 "," 8,720 "," 6,825 "," 11,290 "," 35,305 "," 28,795 "," 44,320 "," 12,995 "," 571,600 "," 2,097,965 "
   Single responses ," 15,435 "," 41,630 "," 21,020 "," 27,995 "," 27,220 "," 31,565 "," 42,005 "," 14,435 "," 25,680 "," 40,030 "," 22,395 "," 22,325 "," 12,105 "," 46,205 "," 20,815 "," 8,640 "," 6,680 "," 11,065 "," 33,125 "," 27,360 "," 43,315 "," 12,825 "," 552,520 "," 2,033,840 "
     English ," 9,415 "," 31,600 "," 17,465 "," 24,145 "," 21,070 "," 17,240 "," 22,135 "," 9,780 "," 13,730 "," 36,290 "," 11,930 "," 17,760 "," 5,810 "," 22,040 "," 15,140 "," 6,790 "," 5,160 "," 6,080 "," 14,910 "," 12,630 "," 35,200 "," 10,905 "," 366,055 "," 1,478,110 "
     French , 90 , 335 , 80 , 430 , 245 , 90 , 185 , 85 , 100 , 535 , 150 , 135 , 25 , 85 , 135 , -   , 45 , 85 , 40 , 50 , 585 , 260 ," 3,790 "," 8,075 "
     Non-official languages ," 5,935 "," 9,690 "," 3,465 "," 3,415 "," 5,910 "," 14,235 "," 19,690 "," 4,565 "," 11,850 "," 3,210 "," 10,315 "," 4,425 "," 6,275 "," 24,080 "," 5,545 "," 1,835 "," 1,470 "," 4,905 "," 18,170 "," 14,680 "," 7,525 "," 1,660 "," 182,680 "," 547,660 "
       Algonquin , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Blackfoot , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
       Carrier , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Chilcotin , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Chipewyan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Cree , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 30 
       Siouan languages (Dakota/Sioux) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 
       Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
       Dogrib , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Gitksan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Inuinnaqtun , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"       Inuktitut, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Kutchin-Gwich'in (Loucheux) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Malecite , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Mohawk , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Montagnais-Naskapi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Nisga'a , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       North Slave (Hare) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Ojibway , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Shuswap , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 10 , 10 
       South Slave , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Tlingit , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
       Italian , 20 , -   , 10 , 20 , 265 , 890 , 225 , 10 , 75 , 20 , 30 , 50 , 25 , 290 , -   , -   , 10 , -   , 75 , 130 , 10 , 25 ," 2,170 "," 4,940 "
       Portuguese , 15 , 60 , -   , -   , 80 , 75 , 235 , 25 , 55 , 15 , -   , 10 , 10 , 430 , 95 , -   , 10 , -   , 60 , 35 , 55 , 10 ," 1,285 "," 3,080 "
       Romanian , -   , 25 , 20 , 55 , -   , -   , 10 , -   , 90 , 65 , 85 , 30 , -   , 20 , 15 , 20 , -   , -   , -   , -   , 105 , -   , 535 ," 3,160 "
       Spanish , 65 , 485 , 85 , 205 , 400 , 320 , 405 , 55 , 395 , 310 , 140 , 225 , -   , 395 , 90 , 15 , 40 , 50 , 425 , 310 , 685 , 20 ," 5,135 "," 14,255 "
       Danish , -   , -   , -   , -   , 10 , -   , -   , -   , 15 , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 40 , 190 
       Dutch , 20 , 40 , 30 , -   , -   , 10 , -   , -   , -   , 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 170 , 955 
       Flemish , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
       Frisian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 35 
       German , -   , 25 , 45 , 20 , 40 , -   , 40 , 15 , 35 , 100 , 20 , 25 , -   , 35 , 35 , -   , -   , -   , 130 , 40 , 85 , 25 , 715 ," 3,230 "
